filename,dist_total,time_greedy,dist_relocate,time_relocate,dist_swap,time_swap
instances/gap/gap_a/a05100,1709,35,1709,16,1700,2474
instances/gap/gap_a/a05200,3259,56,3259,29,3238,12915
instances/gap/gap_a/a10100,1390,47,1390,29,1364,5721
instances/gap/gap_a/a10200,2670,88,2670,98,2637,19409
instances/gap/gap_a/a20100,1170,65,1170,56,1168,1751
instances/gap/gap_a/a20200,2371,141,2371,132,2353,15344
instances/gap/gap_b/b05100,4972,39,4972,13,4174,27768
instances/gap/gap_b/b05200,8050,59,8050,22,6896,139572
instances/gap/gap_b/b10100,2115,50,2115,21,1912,11245
instances/gap/gap_b/b10200,8255,79,8255,37,7333,159147
instances/gap/gap_b/b20100,1660,71,1660,36,1506,11361
instances/gap/gap_b/b20200,3628,120,3628,65,3256,87815
instances/gap/gap_e/e05200,217701,56,217701,20,124213,133522
instances/gap/gap_e/e15900,1675159,374,1675159,222,1565485,1.0687e+07
instances/gap/gap_e/e10400,633169,143,633169,69,542750,1.16725e+06
instances/gap/gap_e/e60900,1879708,1754,1879708,890,1858939,1.27519e+07
instances/gap/gap_e/e401600,3550531,1284,3550531,968,3513624,7.25616e+07
instances/real/real_instance,788,4258,788,13074,768,2.56824e+06
