filename,dist_total,time_wf,dist_relocate,time_relocate,dist_swap,time_swap
instances/gap/gap_a/a05100,4046,186,1710,5272,2001,32551
instances/gap/gap_a/a05200,8105,708,3238,17082,3403,350950
instances/gap/gap_a/a10100,4430,202,1362,8662,1459,45134
instances/gap/gap_a/a10200,8870,692,2632,23593,2866,334435
instances/gap/gap_a/a20100,4486,217,1176,10128,1400,51770
instances/gap/gap_a/a20200,9001,751,2351,46298,2541,438160
instances/gap/gap_b/b05100,6648,197,6648,11,4491,32852
instances/gap/gap_b/b05200,10840,684,10840,23,6106,318188
instances/gap/gap_b/b10100,5167,206,5167,21,2332,44909
instances/gap/gap_b/b10200,11643,955,11643,38,5844,299791
instances/gap/gap_b/b20100,4965,303,4965,33,1675,48342
instances/gap/gap_b/b20200,11500,750,11500,65,4976,381006
instances/gap/gap_e/e05200,79684,673,40546,3222,78660,5272
instances/gap/gap_e/e15900,448140,14225,311797,96061,443649,664783
instances/gap/gap_e/e10400,177231,3819,93518,28463,174715,105382
instances/gap/gap_e/e60900,652047,15323,494058,446174,646155,3.47204e+06
instances/gap/gap_e/e401600,1040451,58206,815344,729195,1034953,1.57493e+07
instances/real/real_instance,15627,24552,922,2.38979e+07,1633,8.70764e+07
